application_id,customer_token,application_ts,requested_amount_lkr,label_default_90d
APP_0001,CUST_0001,2026-03-17T01:17:33+05:30,10000,0
APP_0002,CUST_0002,2026-03-03T16:15:27+05:30,5000,0
APP_0003,CUST_0003,2026-03-05T21:40:10+05:30,15000,0
APP_0004,CUST_0004,2026-03-25T23:12:19+05:30,10000,1
APP_0005,CUST_0005,2026-03-22T09:14:01+05:30,25000,1
APP_0006,CUST_0006,2026-03-05T17:41:17+05:30,40000,0
APP_0007,CUST_0007,2026-03-28T18:48:04+05:30,5000,0
APP_0008,CUST_0008,2026-03-31T19:00:45+05:30,40000,0
APP_0009,CUST_0009,2026-03-29T08:22:25+05:30,40000,0
APP_0010,CUST_0010,2026-03-12T01:34:44+05:30,5000,0
APP_0011,CUST_0011,2026-03-07T19:09:35+05:30,15000,0
APP_0012,CUST_0012,2026-03-27T13:56:40+05:30,5000,0
APP_0013,CUST_0013,2026-03-28T12:44:49+05:30,100000,0
APP_0014,CUST_0014,2026-03-06T08:04:06+05:30,40000,0
APP_0015,CUST_0015,2026-03-10T10:53:08+05:30,15000,1
APP_0016,CUST_0016,2026-03-04T09:09:16+05:30,40000,1
APP_0017,CUST_0017,2026-03-11T07:57:33+05:30,25000,0
APP_0018,CUST_0018,2026-03-22T02:10:52+05:30,100000,0
APP_0019,CUST_0019,2026-03-29T18:13:44+05:30,25000,0
APP_0020,CUST_0020,2026-03-13T09:26:16+05:30,100000,1
APP_0021,CUST_0021,2026-03-13T04:23:34+05:30,5000,0
APP_0022,CUST_0022,2026-03-26T19:53:53+05:30,25000,0
APP_0023,CUST_0023,2026-03-23T02:55:47+05:30,15000,0
APP_0024,CUST_0024,2026-03-04T21:17:06+05:30,5000,0
APP_0025,CUST_0025,2026-03-09T08:11:41+05:30,100000,0
APP_0026,CUST_0026,2026-03-25T01:40:59+05:30,25000,1
APP_0027,CUST_0027,2026-03-05T02:26:03+05:30,100000,0
APP_0028,CUST_0028,2026-03-16T13:32:32+05:30,15000,0
APP_0029,CUST_0029,2026-03-30T04:29:27+05:30,25000,0
APP_0030,CUST_0030,2026-03-23T11:31:03+05:30,5000,0
APP_0031,CUST_0031,2026-03-14T10:30:07+05:30,25000,0
APP_0032,CUST_0032,2026-03-04T11:43:49+05:30,5000,0
APP_0033,CUST_0033,2026-03-16T08:43:07+05:30,60000,0
APP_0034,CUST_0034,2026-03-22T23:12:32+05:30,15000,0
APP_0035,CUST_0035,2026-03-18T04:17:25+05:30,5000,0
APP_0036,CUST_0036,2026-03-18T14:08:44+05:30,10000,0
APP_0037,CUST_0037,2026-03-25T07:11:38+05:30,5000,0
APP_0038,CUST_0038,2026-03-15T06:52:56+05:30,10000,0
APP_0039,CUST_0039,2026-03-20T15:35:03+05:30,25000,0
APP_0040,CUST_0040,2026-03-25T10:28:20+05:30,5000,1
APP_0041,CUST_0041,2026-03-20T19:56:58+05:30,40000,0
APP_0042,CUST_0042,2026-03-07T23:31:49+05:30,100000,0
APP_0043,CUST_0043,2026-03-28T01:03:08+05:30,15000,0
APP_0044,CUST_0044,2026-03-18T17:59:55+05:30,60000,0
APP_0045,CUST_0045,2026-03-12T12:50:41+05:30,10000,1
APP_0046,CUST_0046,2026-03-08T16:16:31+05:30,10000,0
APP_0047,CUST_0047,2026-03-01T22:03:16+05:30,25000,0
APP_0048,CUST_0048,2026-03-10T04:26:41+05:30,15000,0
APP_0049,CUST_0049,2026-03-08T09:43:31+05:30,25000,0
APP_0050,CUST_0050,2026-03-30T22:28:58+05:30,40000,0
APP_0051,CUST_0051,2026-03-07T10:12:29+05:30,60000,0
APP_0052,CUST_0052,2026-03-31T07:32:51+05:30,60000,0
