event_id,customer_token,event_ts,ingestion_ts,amount_lkr,is_reversal
RCH_00499,CUST_0005,2026-02-13T13:28:50+05:30,2026-02-13T15:58:48+05:30,300,0
RCH_01412,CUST_0005,2026-02-13T13:28:50+05:30,2026-02-13T15:58:48+05:30,300,0
RCH_00500,CUST_0005,2026-03-09T05:10:55+05:30,2026-03-09T10:54:14+05:30,300,0
RCH_01407,CUST_0005,2026-03-09T05:10:55+05:30,2026-03-09T10:54:14+05:30,300,0
RCH_01430,CUST_0012,2026-03-08T18:38:17+05:30,2026-03-08T19:42:06+05:30,200,0
RCH_00038,CUST_0012,2026-03-08T18:38:17+05:30,2026-03-08T19:42:06+05:30,200,0
RCH_01413,CUST_0013,2026-03-24T14:25:17+05:30,2026-03-24T17:21:37+05:30,300,0
RCH_00045,CUST_0013,2026-03-24T14:25:17+05:30,2026-03-24T17:21:37+05:30,300,0
RCH_00056,CUST_0015,2026-02-16T09:36:37+05:30,2026-02-16T11:01:42+05:30,200,0
RCH_01432,CUST_0015,2026-02-16T09:36:37+05:30,2026-02-16T11:01:42+05:30,200,0
RCH_00063,CUST_0017,2026-03-11T03:02:00+05:30,2026-03-11T05:30:15+05:30,1000,0
RCH_01427,CUST_0017,2026-03-11T03:02:00+05:30,2026-03-11T05:30:15+05:30,1000,0
RCH_00522,CUST_0019,2026-02-22T16:15:37+05:30,2026-02-22T17:38:43+05:30,500,0
RCH_01438,CUST_0019,2026-02-22T16:15:37+05:30,2026-02-22T17:38:43+05:30,500,0
RCH_00484,CUST_0021,2026-02-06T13:56:34+05:30,2026-02-06T17:45:32+05:30,1000,0
RCH_01404,CUST_0021,2026-02-06T13:56:34+05:30,2026-02-06T17:45:32+05:30,1000,0
RCH_00105,CUST_0030,2026-03-14T13:34:54+05:30,2026-03-14T17:58:00+05:30,100,0
RCH_01408,CUST_0030,2026-03-14T13:34:54+05:30,2026-03-14T17:58:00+05:30,100,0
RCH_00112,CUST_0032,2026-02-17T06:58:22+05:30,2026-02-17T09:26:40+05:30,100,0
RCH_01405,CUST_0032,2026-02-17T06:58:22+05:30,2026-02-17T09:26:40+05:30,100,0
RCH_01439,CUST_0035,2026-03-13T11:40:26+05:30,2026-03-13T17:00:08+05:30,200,0
RCH_00123,CUST_0035,2026-03-13T11:40:26+05:30,2026-03-13T17:00:08+05:30,200,0
RCH_00135,CUST_0038,2026-02-19T05:09:15+05:30,2026-02-19T10:06:13+05:30,500,0
RCH_01414,CUST_0038,2026-02-19T05:09:15+05:30,2026-02-19T10:06:13+05:30,500,0
RCH_00156,CUST_0043,2026-03-09T01:58:33+05:30,2026-03-09T07:08:39+05:30,500,0
RCH_01436,CUST_0043,2026-03-09T01:58:33+05:30,2026-03-09T07:08:39+05:30,500,0
RCH_00158,CUST_0044,2026-03-17T07:51:58+05:30,2026-03-17T13:30:35+05:30,100,0
RCH_01422,CUST_0044,2026-03-17T07:51:58+05:30,2026-03-17T13:30:35+05:30,100,0
RCH_01424,CUST_0045,2026-02-22T18:27:44+05:30,2026-02-22T21:51:09+05:30,200,0
RCH_00162,CUST_0045,2026-02-22T18:27:44+05:30,2026-02-22T21:51:09+05:30,200,0
RCH_00160,CUST_0045,2026-03-11T03:08:37+05:30,2026-03-11T06:36:19+05:30,50,0
RCH_01420,CUST_0045,2026-03-11T03:08:37+05:30,2026-03-11T06:36:19+05:30,50,0
RCH_01431,CUST_0050,2026-03-06T07:53:30+05:30,2026-03-06T11:37:56+05:30,200,0
RCH_00178,CUST_0050,2026-03-06T07:53:30+05:30,2026-03-06T11:37:56+05:30,200,0
