application_id,recharge_count_30d
APP_0001,11
APP_0002,1
APP_0003,2
APP_0004,5
APP_0005,8
APP_0006,12
APP_0007,1
APP_0008,6
APP_0009,7
APP_0010,6
APP_0011,0
APP_0012,4
APP_0013,6
APP_0014,9
APP_0015,6
APP_0016,7
APP_0017,15
APP_0018,11
APP_0019,6
APP_0020,7
APP_0021,5
APP_0022,4
APP_0023,3
APP_0024,2
APP_0025,0
APP_0026,4
APP_0027,5
APP_0028,3
APP_0029,9
APP_0030,4
APP_0031,2
APP_0032,5
APP_0033,7
APP_0034,6
APP_0035,4
APP_0036,3
APP_0037,5
APP_0038,3
APP_0039,5
APP_0040,6
APP_0041,5
APP_0042,4
APP_0043,4
APP_0044,3
APP_0045,7
APP_0046,6
APP_0047,5
APP_0048,1
APP_0049,9
APP_0050,1
APP_0051,2
APP_0052,3
APP_0053,5
APP_0054,8
APP_0055,4
APP_0056,0
APP_0057,13
APP_0058,0
APP_0059,7
APP_0060,0
APP_0061,5
APP_0062,2
APP_0063,5
APP_0064,2
APP_0065,4
APP_0066,3
APP_0067,4
APP_0068,3
APP_0069,0
APP_0070,6
APP_0071,1
APP_0072,3
APP_0073,0
APP_0074,0
APP_0075,1
APP_0076,7
APP_0077,1
APP_0078,3
APP_0079,0
APP_0080,5
APP_0081,7
APP_0082,5
APP_0083,3
APP_0084,5
APP_0085,3
APP_0086,0
APP_0087,2
APP_0088,6
APP_0089,6
APP_0090,3
APP_0091,1
APP_0092,4
APP_0093,3
APP_0094,3
APP_0095,5
APP_0096,5
APP_0097,4
APP_0098,4
APP_0099,0
APP_0100,7
APP_0101,1
APP_0102,0
APP_0103,3
APP_0104,4
APP_0105,3
APP_0106,6
APP_0107,3
APP_0108,5
APP_0109,6
APP_0110,3
APP_0111,5
APP_0112,6
APP_0113,4
APP_0114,6
APP_0115,4
APP_0116,4
APP_0117,3
APP_0118,3
APP_0119,0
APP_0120,7
APP_0121,2
APP_0122,7
APP_0123,0
APP_0124,0
APP_0125,0
APP_0126,4
APP_0127,7
APP_0128,0
APP_0129,1
APP_0130,7
APP_0131,1
APP_0132,7
APP_0133,7
APP_0134,3
APP_0135,7
APP_0136,6
APP_0137,0
APP_0138,1
APP_0139,0
APP_0140,7
APP_0141,7
APP_0142,6
APP_0143,9
APP_0144,9
APP_0145,7
APP_0146,7
APP_0147,6
APP_0148,6
APP_0149,10
APP_0150,9
APP_0151,12
APP_0152,9
APP_0153,8
APP_0154,10
APP_0155,7
APP_0156,7
APP_0157,9
APP_0158,10
APP_0159,4
APP_0160,7
APP_0161,8
APP_0162,7
APP_0163,8
APP_0164,12
APP_0165,5
APP_0166,1
APP_0167,11
APP_0168,6
APP_0169,7
APP_0170,1
APP_0171,4
APP_0172,13
APP_0173,11
APP_0174,10
APP_0175,6
APP_0176,12
APP_0177,4
APP_0178,7
APP_0179,6
APP_0180,3
