event_id,customer_token,event_ts,ingestion_ts,amount_lkr,is_reversal
RCH_01458,CUST_0041,2026-02-25T12:59:29+05:30,2026-02-25T13:47:53+05:30,-50,0
RCH_01455,CUST_0123,2026-03-12T21:36:23+05:30,2026-03-12T21:53:08+05:30,-100,0
RCH_01449,CUST_0020,2026-03-13T01:47:31+05:30,2026-03-13T04:39:41+05:30,0,0
RCH_01443,CUST_0096,2026-03-20T14:38:31+05:30,2026-03-20T16:42:15+05:30,0,0
RCH_01440,CUST_0029,2026-03-03T22:58:58+05:30,2026-03-04T01:43:55+05:30,-50,0
RCH_01453,CUST_0001,2026-03-10T10:35:41+05:30,2026-03-10T14:28:12+05:30,-100,0
RCH_01445,CUST_0006,2026-02-16T17:22:20+05:30,2026-02-16T20:53:38+05:30,0,0
RCH_01447,CUST_0060,2026-02-20T07:51:08+05:30,2026-02-20T12:31:52+05:30,-50,0
RCH_01456,CUST_0098,2026-02-16T16:57:29+05:30,2026-02-16T20:37:56+05:30,0,0
RCH_01460,CUST_0119,2026-02-07T01:56:22+05:30,2026-02-07T06:09:35+05:30,0,0
RCH_01452,CUST_0062,2026-02-28T11:05:06+05:30,2026-02-28T13:44:05+05:30,-50,0
RCH_01459,CUST_0113,2026-02-07T22:02:14+05:30,2026-02-08T03:19:46+05:30,-50,0
RCH_01444,CUST_0018,2026-03-24T05:46:39+05:30,2026-03-24T10:08:01+05:30,0,0
RCH_01450,CUST_0055,2026-03-07T09:52:31+05:30,2026-03-07T15:50:09+05:30,-50,0
RCH_01442,CUST_0100,2026-03-02T07:07:03+05:30,2026-03-02T11:51:12+05:30,-100,0
RCH_01441,CUST_0034,2026-02-12T05:45:00+05:30,2026-02-12T11:40:24+05:30,-50,0
RCH_01463,CUST_0090,2026-02-18T08:03:18+05:30,2026-02-18T13:56:58+05:30,0,0
RCH_01448,CUST_0032,2026-03-02T22:50:07+05:30,2026-03-03T00:55:20+05:30,-100,0
RCH_01451,CUST_0004,2026-02-27T18:01:42+05:30,2026-02-27T18:54:05+05:30,-50,0
RCH_01457,CUST_0017,2026-02-07T06:39:26+05:30,2026-02-07T10:02:15+05:30,-50,0
RCH_01454,CUST_0008,2026-02-16T19:55:48+05:30,2026-02-16T21:41:29+05:30,-100,0
RCH_01462,CUST_0111,2026-02-17T07:54:28+05:30,2026-02-17T10:45:00+05:30,-100,0
RCH_01461,CUST_0024,2026-02-06T14:16:07+05:30,2026-02-06T15:32:06+05:30,0,0
RCH_01446,CUST_0076,2026-03-07T12:06:21+05:30,2026-03-07T16:24:47+05:30,0,0
RCH_01464,CUST_0026,2026-03-10T00:25:55+05:30,2026-03-10T03:29:43+05:30,-50,0
